src,type,rbr_id,popularity,file,subtitle
no_rbr_note,acknowledge_end_recce,-1,-1,,
no_rbr_note,acknowledge_start_recce,-1,-1,,
rbr,cmp_into_corner_1_left,0,0.63,hairpin_left.ogg,Kehre Links
rbr,cmp_into_corner_1_left_descriptive,0,0.63,hairpin_left.ogg,Kehre Links
rbr,cmp_into_corner_1_left_descriptive_rushed,0,0.63,hairpin_left.ogg,Kehre Links
rbr,cmp_into_corner_1_left_rushed,0,0.63,hairpin_left.ogg,Kehre Links
rbr,cmp_into_corner_1_right,11,0.6,hairpin_right.ogg,Kehre Rechts
rbr,cmp_into_corner_1_right_descriptive,11,0.6,hairpin_right.ogg,Kehre Rechts
rbr,cmp_into_corner_1_right_descriptive_rushed,11,0.6,hairpin_right.ogg,Kehre Rechts
rbr,cmp_into_corner_1_right_rushed,11,0.6,hairpin_right.ogg,Kehre Rechts
rbr,cmp_into_corner_2_left,102,0.02,one_left.ogg,1 Links
rbr,cmp_into_corner_2_left_descriptive,102,0.02,sharp_left.ogg,Scharf Links
rbr,cmp_into_corner_2_left_descriptive_rushed,102,0.02,sharp_left.ogg,Scharf Links
rbr,cmp_into_corner_2_left_rushed,102,0.02,one_left.ogg,1 Links
rbr,cmp_into_corner_2_right,112,0.02,one_right.ogg,1 Rechts
rbr,cmp_into_corner_2_right_descriptive,112,0.02,sharp_right.ogg,Scharf Rechts
rbr,cmp_into_corner_2_right_descriptive_rushed,112,0.02,sharp_right.ogg,Scharf Rechts
rbr,cmp_into_corner_2_right_rushed,112,0.02,one_right.ogg,1 Rechts
rbr,cmp_into_corner_3_left,2,0.88,three_left.ogg,3 Links
rbr,cmp_into_corner_3_left_descriptive,2,0.88,three_left.ogg,3 Links
rbr,cmp_into_corner_3_left_descriptive_rushed,2,0.88,three_left.ogg,3 Links
rbr,cmp_into_corner_3_left_rushed,2,0.88,three_left.ogg,3 Links
rbr,cmp_into_corner_3_right,9,0.86,three_right.ogg,3 Rechts
rbr,cmp_into_corner_3_right_descriptive,9,0.86,three_right.ogg,3 Rechts
rbr,cmp_into_corner_3_right_descriptive_rushed,9,0.86,three_right.ogg,3 Rechts
rbr,cmp_into_corner_3_right_rushed,9,0.86,three_right.ogg,3 Rechts
rbr,cmp_into_corner_4_left,3,0.94,four_left.ogg,4 Links
rbr,cmp_into_corner_4_left_descriptive,3,0.94,four_left.ogg,4 Links
rbr,cmp_into_corner_4_left_descriptive_rushed,3,0.94,four_left.ogg,4 Links
rbr,cmp_into_corner_4_left_rushed,3,0.94,four_left.ogg,4 Links
rbr,cmp_into_corner_4_right,8,0.94,four_right.ogg,4 Rechts
rbr,cmp_into_corner_4_right_descriptive,8,0.94,four_right.ogg,4 Rechts
rbr,cmp_into_corner_4_right_descriptive_rushed,8,0.94,four_right.ogg,4 Rechts
rbr,cmp_into_corner_4_right_rushed,8,0.94,four_right.ogg,4 Rechts
rbr,cmp_into_corner_5_left,4,0.93,five_left.ogg,5 Links
rbr,cmp_into_corner_5_left_descriptive,4,0.93,five_left.ogg,5 Links
rbr,cmp_into_corner_5_left_descriptive_rushed,4,0.93,five_left.ogg,5 Links
rbr,cmp_into_corner_5_left_rushed,4,0.93,five_left.ogg,5 Links
rbr,cmp_into_corner_5_right,7,0.94,five_right.ogg,5 Rechts
rbr,cmp_into_corner_5_right_descriptive,7,0.94,five_right.ogg,5 Rechts
rbr,cmp_into_corner_5_right_descriptive_rushed,7,0.94,five_right.ogg,5 Rechts
rbr,cmp_into_corner_5_right_rushed,7,0.94,five_right.ogg,5 Rechts
rbr,cmp_into_corner_6_left,5,0.87,six_left.ogg,6 Links
rbr,cmp_into_corner_6_left_descriptive,5,0.87,easy_left.ogg,Leicht Links
rbr,cmp_into_corner_6_left_descriptive_rushed,5,0.87,easy_left.ogg,Leicht Links
rbr,cmp_into_corner_6_left_rushed,5,0.87,six_left.ogg,6 Links
rbr,cmp_into_corner_6_right,6,0.88,six_right.ogg,6 Rechts
rbr,cmp_into_corner_6_right_descriptive,6,0.88,easy_right.ogg,Leicht Rechts
rbr,cmp_into_corner_6_right_descriptive_rushed,6,0.88,easy_right.ogg,Leicht Rechts
rbr,cmp_into_corner_6_right_rushed,6,0.88,six_right.ogg,6 Rechts
rbr,cmp_into_corner_flat_left,26,0.59,flat_left.ogg,Voll Links
rbr,cmp_into_corner_flat_left_descriptive,26,0.59,flat_left.ogg,Voll Links
rbr,cmp_into_corner_flat_left_descriptive_rushed,26,0.59,flat_left.ogg,Voll Links
rbr,cmp_into_corner_flat_left_rushed,26,0.59,flat_left.ogg,Voll Links
rbr,cmp_into_corner_flat_right,25,0.59,flat_right.ogg,Voll Rechts
rbr,cmp_into_corner_flat_right_descriptive,25,0.59,flat_right.ogg,Voll Rechts
rbr,cmp_into_corner_flat_right_descriptive_rushed,25,0.59,flat_right.ogg,Voll Rechts
rbr,cmp_into_corner_flat_right_rushed,25,0.59,flat_right.ogg,Voll Rechts
rbr,cmp_into_corner_hairpin_left,0,0.63,hairpin_left.ogg,Kehre Links
rbr,cmp_into_corner_hairpin_left_rushed,0,0.63,hairpin_left.ogg,Kehre Links
rbr,cmp_into_corner_hairpin_right,11,0.6,hairpin_right.ogg,Kehre Rechts
rbr,cmp_into_corner_hairpin_right_rushed,11,0.6,hairpin_right.ogg,Kehre Rechts
rbr,cmp_into_corner_square_left,1,0.74,two_left.ogg,2 Links
rbr,cmp_into_corner_square_left_descriptive,1,0.74,square_left.ogg,90 Links
rbr,cmp_into_corner_square_left_descriptive_rushed,1,0.74,square_left.ogg,90 Links
rbr,cmp_into_corner_square_left_rushed,1,0.74,two_left.ogg,2 Links
rbr,cmp_into_corner_square_right,10,0.73,two_right.ogg,2 Rechts
rbr,cmp_into_corner_square_right_descriptive,10,0.73,square_right.ogg,90 Rechts
rbr,cmp_into_corner_square_right_descriptive_rushed,10,0.73,square_right.ogg,90 Rechts
rbr,cmp_into_corner_square_right_rushed,10,0.73,two_right.ogg,2 Rechts
rbr,cmp_into_detail_bump,19,0.53,bump.ogg,Schlag
rbr,cmp_into_detail_bump_rushed,19,0.53,bump.ogg,Schlag
rbr,cmp_into_detail_care,18,0.49,care.ogg,Vorsicht
rbr,cmp_into_detail_care_rushed,18,0.49,care.ogg,Vorsicht
rbr,cmp_into_detail_caution,32,0.56,caution.ogg,Achtung
rbr,cmp_into_detail_caution_rushed,32,0.56,caution.ogg,Achtung
rbr,cmp_into_detail_ford,17,0.1,ford.ogg,Furt
rbr,cmp_into_detail_ford_rushed,17,0.1,ford.ogg,Furt
rbr,corner_1_left,0,0.63,hairpin_left.ogg,Kehre Links
rbr,corner_1_left_descriptive,0,0.63,hairpin_left.ogg,Kehre Links
rbr,corner_1_left_descriptive_rushed,0,0.63,hairpin_left.ogg,Kehre Links
